# ----------------------------------------
# 1allsubdomains.mvideo.ru
# Ассоциированные конверсии
# 20180701-20180705
# ----------------------------------------

Источник или канал,Кампания,Ассоциированные конверсии,Ценность ассоциированных конверсий,Конверсии по последнему клику или прямому взаимодействию,Ценность конверсий по последнему клику или прямому взаимодействию,Ассоциированные конверсии/конверсии по последнему клику или прямому взаимодействию
yandex / cpc,ipr_Flight_RF_KD_E-P_Camera_Nikon Photobag_02-30jul2018,2,"3 180,00 ₽",0,"0,00 ₽","0,00"

Ассоциированные конверсии,Ценность ассоциированных конверсий,Конверсии по последнему клику или прямому взаимодействию,Ценность конверсий по последнему клику или прямому взаимодействию,Ассоциированные конверсии/конверсии по последнему клику или прямому взаимодействию
2,"3 180,00 ₽",0,"0,00 ₽","0,00"
2,"3 180,00 ₽",0,"0,00 ₽","0,00"
