# ----------------------------------------
# 1allsubdomains.mvideo.ru
# Ассоциированные конверсии
# 20180713-20180716
# ----------------------------------------

Источник или канал,Кампания,Ассоциированные конверсии,Ценность ассоциированных конверсий,Конверсии по последнему клику или прямому взаимодействию,Ценность конверсий по последнему клику или прямому взаимодействию,Ассоциированные конверсии/конверсии по последнему клику или прямому взаимодействию
yandex / cpc,ipr_Flight_RF_KD_E-P_Camera_Nikon Photobag_02-30jul2018,5,"92 150,00 ₽",0,"0,00 ₽","0,00"
ipr_vk / cpc,ipr_vk_ipr_Flight_RF_KD_E-P_Camera-Nikon-Photobag_02-30jul2018,4,"30 340,00 ₽",0,"0,00 ₽","0,00"

Ассоциированные конверсии,Ценность ассоциированных конверсий,Конверсии по последнему клику или прямому взаимодействию,Ценность конверсий по последнему клику или прямому взаимодействию,Ассоциированные конверсии/конверсии по последнему клику или прямому взаимодействию
10,"181 560,00 ₽",0,"0,00 ₽","0,00"
10,"181 560,00 ₽",0,"0,00 ₽","0,00"
